economic_status,Bubble,"Not working, inactive, not in universe",In School,Homemakers/Housework,Office workers,Teachers ,Service Workers,Agriculture Workers,Industry Workers,In the army,Disabled and not working
"Not working, inactive, not in universe",10,0.68,0.05,0.05,0.02,0.01,0.15,0.04,0,0,0
Current Students,30,0.01,0.94,0.02,0,0.02,0.01,0,0,0,0
Homemakers/Housework,15,0.05,0.11,0.56,0.05,0,0.2,0.01,0,0,0.01
Office workers,30,0.06,0,0.14,0.61,0.02,0.15,0,0.02,0,0
Teachers,100,0.02,0.2,0,0.01,0.72,0.05,0,0,0,0
Service Workers,100,0.05,0.02,0.06,0.02,0.01,0.82,0.02,0.01,0,0.01
Agriculture Workers,30,0.02,0,0.01,0,0,0.04,0.92,0.01,0,0
Industry Workers,30,0,0,0,0.05,0,0.22,0.12,0.61,0,0
In the army,100,0,0,0,0,0,0.03,0,0,0.97,0
Disabled and not working,10,0,0,0.19,0,0,0.33,0,0,0,0.48