,date,cases_by_day,deaths_by_day,cum_deaths
0,2020-03-20,2.0,1.0,1.0
1,2020-03-21,0.0,0.0,1.0
2,2020-03-22,0.0,0.0,1.0
3,2020-03-23,0.0,0.0,1.0
4,2020-03-24,1.0,0.0,1.0
5,2020-03-25,1.0,0.0,1.0
6,2020-03-26,0.0,0.0,1.0
7,2020-03-27,3.0,0.0,1.0
8,2020-03-28,0.0,0.0,1.0
9,2020-03-29,0.0,0.0,1.0
10,2020-03-30,1.0,0.0,1.0
11,2020-03-31,2.0,0.0,1.0
12,2020-04-01,0.0,0.0,1.0
13,2020-04-02,0.0,0.0,1.0
14,2020-04-03,0.0,0.0,1.0
15,2020-04-04,0.0,0.0,1.0
16,2020-04-05,1.0,0.0,1.0
17,2020-04-06,0.0,0.0,1.0
18,2020-04-07,3.0,0.0,1.0
19,2020-04-08,0.0,0.0,1.0
20,2020-04-09,0.0,0.0,1.0
21,2020-04-10,0.0,0.0,1.0
22,2020-04-11,1.0,0.0,1.0
23,2020-04-12,2.0,0.0,1.0
24,2020-04-13,4.0,0.0,1.0
25,2020-04-14,0.0,0.0,1.0
26,2020-04-15,6.0,0.0,1.0
27,2020-04-16,0.0,0.0,1.0
28,2020-04-17,1.0,0.0,1.0
29,2020-04-18,0.0,0.0,1.0
30,2020-04-19,0.0,0.0,1.0
31,2020-04-20,1.0,0.0,1.0
32,2020-04-21,0.0,0.0,1.0
33,2020-04-22,0.0,0.0,1.0
34,2020-04-23,3.0,0.0,1.0
35,2020-04-24,2.0,0.0,1.0
36,2020-04-25,1.0,0.0,1.0
37,2020-04-26,0.0,0.0,1.0
38,2020-04-27,0.0,0.0,1.0
39,2020-04-28,1.0,0.0,1.0
40,2020-04-29,2.0,0.0,1.0
41,2020-04-30,0.0,0.0,1.0
42,2020-05-01,0.0,0.0,1.0
43,2020-05-02,0.0,0.0,1.0
44,2020-05-03,1.0,0.0,1.0
45,2020-05-04,2.0,0.0,1.0
46,2020-05-05,2.0,0.0,1.0
47,2020-05-06,0.0,0.0,1.0
48,2020-05-07,12.0,0.0,1.0
49,2020-05-08,0.0,0.0,1.0
50,2020-05-09,1.0,0.0,1.0
51,2020-05-10,0.0,0.0,1.0
52,2020-05-11,1.0,0.0,1.0
53,2020-05-12,0.0,0.0,1.0
54,2020-05-13,4.0,0.0,1.0
55,2020-05-14,1.0,0.0,1.0
56,2020-05-15,1.0,0.0,1.0
57,2020-05-16,0.0,0.0,1.0
58,2020-05-17,1.0,0.0,1.0
59,2020-05-18,0.0,0.0,1.0
60,2020-05-19,3.0,0.0,1.0
61,2020-05-20,0.0,0.0,1.0
62,2020-05-21,1.0,0.0,1.0
63,2020-05-22,1.0,0.0,1.0
64,2020-05-23,3.0,0.0,1.0
65,2020-05-24,2.0,0.0,1.0
66,2020-05-25,1.0,0.0,1.0
67,2020-05-26,25.0,0.0,1.0
68,2020-05-27,46.0,0.0,1.0
69,2020-05-28,5.0,0.0,1.0
70,2020-05-29,9.0,0.0,1.0
71,2020-05-30,11.0,0.0,1.0
72,2020-05-31,13.0,0.0,1.0
73,2020-06-01,16.0,0.0,1.0
74,2020-06-02,15.0,0.0,1.0
75,2020-06-03,6.0,0.0,1.0
76,2020-06-04,46.0,0.0,1.0
77,2020-06-05,8.0,0.0,1.0
78,2020-06-06,9.0,0.0,1.0
79,2020-06-07,11.0,0.0,1.0
80,2020-06-08,5.0,0.0,1.0
81,2020-06-09,15.0,0.0,1.0
82,2020-06-10,15.0,0.0,1.0
83,2020-06-11,19.0,0.0,1.0
84,2020-06-12,11.0,0.0,1.0
85,2020-06-13,5.0,0.0,1.0
86,2020-06-14,31.0,0.0,1.0
87,2020-06-15,5.0,0.0,1.0
88,2020-06-16,16.0,0.0,1.0
89,2020-06-17,11.0,0.0,1.0
90,2020-06-18,31.0,0.0,1.0
91,2020-06-19,25.0,0.0,1.0
92,2020-06-20,10.0,0.0,1.0
93,2020-06-21,4.0,0.0,1.0
94,2020-06-22,23.0,0.0,1.0
95,2020-06-23,13.0,1.0,2.0
96,2020-06-24,12.0,0.0,2.0
97,2020-06-25,6.0,1.0,3.0
98,2020-06-26,14.0,0.0,3.0
99,2020-06-27,6.0,0.0,3.0
100,2020-06-28,12.0,0.0,3.0
101,2020-06-29,22.0,1.0,4.0
102,2020-06-30,10.0,1.0,5.0
103,2020-07-01,20.0,1.0,6.0
104,2020-07-02,14.0,0.0,6.0
105,2020-07-03,15.0,0.0,6.0
106,2020-07-04,52.0,0.0,6.0
107,2020-07-05,21.0,1.0,7.0
108,2020-07-06,54.0,2.0,9.0
109,2020-07-07,22.0,0.0,9.0
110,2020-07-08,79.0,0.0,9.0
111,2020-07-09,68.0,0.0,9.0
112,2020-07-10,52.0,5.0,14.0
113,2020-07-11,43.0,1.0,15.0
114,2020-07-12,18.0,1.0,16.0
115,2020-07-13,36.0,2.0,18.0
116,2020-07-14,37.0,1.0,19.0
117,2020-07-15,103.0,2.0,21.0
118,2020-07-16,238.0,4.0,25.0
119,2020-07-17,41.0,5.0,30.0
120,2020-07-18,92.0,5.0,35.0
121,2020-07-19,127.0,2.0,37.0
122,2020-07-20,90.0,1.0,38.0
123,2020-07-21,135.0,1.0,39.0
124,2020-07-22,86.0,2.0,41.0
125,2020-07-23,109.0,3.0,44.0
126,2020-07-24,191.0,0.0,44.0
127,2020-07-25,254.0,4.0,48.0
128,2020-07-26,124.0,4.0,52.0
129,2020-07-27,51.0,1.0,53.0
130,2020-07-28,227.0,2.0,55.0
131,2020-07-29,116.0,2.0,57.0
132,2020-07-30,174.0,1.0,58.0
133,2020-07-31,166.0,3.0,61.0
134,2020-08-01,205.0,1.0,62.0
135,2020-08-02,74.0,0.0,62.0
136,2020-08-03,136.0,0.0,62.0
137,2020-08-04,67.0,2.0,64.0
138,2020-08-05,186.0,11.0,75.0
139,2020-08-06,51.0,7.0,82.0
140,2020-08-07,90.0,1.0,83.0
141,2020-08-08,93.0,4.0,87.0
142,2020-08-09,16.0,1.0,88.0
143,2020-08-10,22.0,0.0,88.0
144,2020-08-11,54.0,1.0,89.0
145,2020-08-12,64.0,0.0,89.0
146,2020-08-13,63.0,2.0,91.0
147,2020-08-14,103.0,11.0,102.0
148,2020-08-15,100.0,0.0,102.0
149,2020-08-16,117.0,3.0,105.0
150,2020-08-17,34.0,2.0,107.0
151,2020-08-18,130.0,0.0,107.0
152,2020-08-19,33.0,0.0,107.0
153,2020-08-20,66.0,2.0,109.0
154,2020-08-21,37.0,2.0,111.0
155,2020-08-22,48.0,1.0,112.0
156,2020-08-23,55.0,0.0,112.0
157,2020-08-24,10.0,0.0,112.0
158,2020-08-25,14.0,1.0,113.0
159,2020-08-26,14.0,1.0,114.0
160,2020-08-27,15.0,0.0,114.0
161,2020-08-28,11.0,3.0,117.0
162,2020-08-29,20.0,0.0,117.0
163,2020-08-30,3.0,0.0,117.0
164,2020-08-31,0.0,0.0,117.0
165,2020-09-01,5.0,0.0,117.0
