seed,districtId,simDay_firstcase,beta,run_length
198010m,1,0,0.016,180
198010m,2,0,0.016,180
198010m,3,84,0.016,180
198010m,4,121,0.016,180
198010m,5,154,0.016,180
198010m,6,42,0.016,180
198010m,7,72,0.016,180
198010m,8,112,0.016,180
198010m,9,112,0.016,180
198010m,10,19,0.016,180
198010m,11,73,0.016,180
198010m,12,34,0.016,180
198010m,13,11,0.016,180
198010m,14,87,0.016,180
198010m,15,69,0.016,180
198010m,16,65,0.016,180
198010m,17,79,0.016,180
198010m,18,0,0.016,180
198010m,19,36,0.016,180
198010m,20,17,0.016,180
198010m,21,10,0.016,180
198010m,22,11,0.016,180
198010m,23,29,0.016,180
198010m,24,70,0.016,180
198010m,25,108,0.016,180
198010m,26,25,0.016,180
198010m,27,91,0.016,180
198010m,28,38,0.016,180
198010m,29,109,0.016,180
198010m,30,113,0.016,180
198010m,31,31,0.016,180
198010m,32,81,0.016,180
198010m,33,91,0.016,180
198010m,34,84,0.016,180
198010m,35,73,0.016,180
198010m,36,77,0.016,180
198010m,37,83,0.016,180
198010m,38,113,0.016,180
198010m,40,99,0.016,180
198010m,41,166,0.016,180
198010m,42,135,0.016,180
198010m,43,144,0.016,180
198010m,44,161,0.016,180
198010m,45,125,0.016,180
198010m,46,92,0.016,180
198010m,47,168,0.016,180
198010m,48,0,0.016,180
198010m,49,81,0.016,180
198010m,50,138,0.016,180
198010m,51,65,0.016,180
198010m,52,134,0.016,180
198010m,53,81,0.016,180
198010m,54,94,0.016,180
198010m,55,70,0.016,180
198010m,56,87,0.016,180
198010m,57,98,0.016,180
198010m,58,150,0.016,180
198010m,59,141,0.016,180
198010m,60,124,0.016,180
228910m,1,0,0.016,180
228910m,2,0,0.016,180
228910m,3,161,0.016,180
228910m,4,150,0.016,180
228910m,6,101,0.016,180
228910m,7,144,0.016,180
228910m,8,126,0.016,180
228910m,9,124,0.016,180
228910m,10,153,0.016,180
228910m,12,151,0.016,180
228910m,13,113,0.016,180
228910m,14,161,0.016,180
228910m,16,98,0.016,180
228910m,17,123,0.016,180
228910m,18,0,0.016,180
228910m,19,6,0.016,180
228910m,21,110,0.016,180
228910m,23,62,0.016,180
228910m,25,130,0.016,180
228910m,26,41,0.016,180
228910m,27,79,0.016,180
228910m,28,93,0.016,180
228910m,29,169,0.016,180
228910m,30,84,0.016,180
228910m,31,65,0.016,180
228910m,32,143,0.016,180
228910m,33,126,0.016,180
228910m,34,168,0.016,180
228910m,35,157,0.016,180
228910m,36,135,0.016,180
228910m,37,133,0.016,180
228910m,38,155,0.016,180
228910m,39,151,0.016,180
228910m,40,66,0.016,180
228910m,41,75,0.016,180
228910m,42,39,0.016,180
228910m,43,60,0.016,180
228910m,44,22,0.016,180
228910m,45,38,0.016,180
228910m,46,135,0.016,180
228910m,47,28,0.016,180
228910m,48,0,0.016,180
228910m,49,19,0.016,180
228910m,50,38,0.016,180
228910m,51,63,0.016,180
228910m,52,61,0.016,180
228910m,53,124,0.016,180
228910m,54,125,0.016,180
228910m,55,120,0.016,180
228910m,56,11,0.016,180
228910m,57,91,0.016,180
228910m,58,109,0.016,180
228910m,59,148,0.016,180
228910m,60,103,0.016,180
348110m,1,0,0.016,180
348110m,2,0,0.016,180
348110m,3,20,0.016,180
348110m,4,72,0.016,180
348110m,5,80,0.016,180
348110m,6,32,0.016,180
348110m,7,10,0.016,180
348110m,8,87,0.016,180
348110m,9,77,0.016,180
348110m,10,38,0.016,180
348110m,11,41,0.016,180
348110m,12,50,0.016,180
348110m,13,24,0.016,180
348110m,14,64,0.016,180
348110m,15,52,0.016,180
348110m,16,42,0.016,180
348110m,17,40,0.016,180
348110m,18,0,0.016,180
348110m,19,19,0.016,180
348110m,20,34,0.016,180
348110m,21,17,0.016,180
348110m,22,36,0.016,180
348110m,23,13,0.016,180
348110m,24,63,0.016,180
348110m,25,22,0.016,180
348110m,26,7,0.016,180
348110m,27,46,0.016,180
348110m,28,75,0.016,180
348110m,29,127,0.016,180
348110m,30,39,0.016,180
348110m,31,10,0.016,180
348110m,32,106,0.016,180
348110m,33,138,0.016,180
348110m,34,92,0.016,180
348110m,35,84,0.016,180
348110m,36,23,0.016,180
348110m,37,122,0.016,180
348110m,38,110,0.016,180
348110m,39,88,0.016,180
348110m,40,53,0.016,180
348110m,41,55,0.016,180
348110m,42,80,0.016,180
348110m,43,78,0.016,180
348110m,44,55,0.016,180
348110m,45,41,0.016,180
348110m,46,66,0.016,180
348110m,47,69,0.016,180
348110m,48,0,0.016,180
348110m,49,11,0.016,180
348110m,50,74,0.016,180
348110m,51,87,0.016,180
348110m,52,56,0.016,180
348110m,53,75,0.016,180
348110m,54,81,0.016,180
348110m,55,77,0.016,180
348110m,56,63,0.016,180
348110m,57,65,0.016,180
348110m,58,71,0.016,180
348110m,59,96,0.016,180
348110m,60,103,0.016,180
491510m,1,0,0.016,180
491510m,2,0,0.016,180
491510m,3,88,0.016,180
491510m,4,68,0.016,180
491510m,5,137,0.016,180
491510m,6,57,0.016,180
491510m,7,21,0.016,180
491510m,8,89,0.016,180
491510m,9,120,0.016,180
491510m,10,44,0.016,180
491510m,11,74,0.016,180
491510m,12,33,0.016,180
491510m,13,24,0.016,180
491510m,14,59,0.016,180
491510m,15,73,0.016,180
491510m,16,20,0.016,180
491510m,17,33,0.016,180
491510m,18,0,0.016,180
491510m,19,24,0.016,180
491510m,20,61,0.016,180
491510m,21,22,0.016,180
491510m,22,13,0.016,180
491510m,23,19,0.016,180
491510m,24,47,0.016,180
491510m,25,37,0.016,180
491510m,26,29,0.016,180
491510m,27,8,0.016,180
491510m,28,43,0.016,180
491510m,29,150,0.016,180
491510m,30,20,0.016,180
491510m,31,5,0.016,180
491510m,32,111,0.016,180
491510m,33,69,0.016,180
491510m,34,113,0.016,180
491510m,35,49,0.016,180
491510m,36,81,0.016,180
491510m,37,70,0.016,180
491510m,38,107,0.016,180
491510m,40,143,0.016,180
491510m,41,174,0.016,180
491510m,43,149,0.016,180
491510m,44,164,0.016,180
491510m,45,125,0.016,180
491510m,46,8,0.016,180
491510m,47,171,0.016,180
491510m,48,0,0.016,180
491510m,49,90,0.016,180
491510m,50,103,0.016,180
491510m,51,30,0.016,180
491510m,52,133,0.016,180
491510m,53,26,0.016,180
491510m,54,69,0.016,180
491510m,55,78,0.016,180
491510m,56,83,0.016,180
491510m,57,23,0.016,180
491510m,58,87,0.016,180
491510m,59,129,0.016,180
491510m,60,119,0.016,180
514210m,1,0,0.016,180
514210m,2,0,0.016,180
514210m,3,43,0.016,180
514210m,4,111,0.016,180
514210m,6,31,0.016,180
514210m,7,39,0.016,180
514210m,8,78,0.016,180
514210m,9,153,0.016,180
514210m,10,88,0.016,180
514210m,11,96,0.016,180
514210m,12,130,0.016,180
514210m,13,7,0.016,180
514210m,14,111,0.016,180
514210m,15,101,0.016,180
514210m,16,116,0.016,180
514210m,17,109,0.016,180
514210m,18,0,0.016,180
514210m,19,62,0.016,180
514210m,20,108,0.016,180
514210m,21,11,0.016,180
514210m,22,46,0.016,180
514210m,23,5,0.016,180
514210m,24,96,0.016,180
514210m,25,55,0.016,180
514210m,26,22,0.016,180
514210m,27,13,0.016,180
514210m,28,75,0.016,180
514210m,29,128,0.016,180
514210m,30,61,0.016,180
514210m,31,29,0.016,180
514210m,32,176,0.016,180
514210m,33,120,0.016,180
514210m,34,178,0.016,180
514210m,35,103,0.016,180
514210m,36,129,0.016,180
514210m,37,147,0.016,180
514210m,38,107,0.016,180
514210m,39,176,0.016,180
514210m,40,128,0.016,180
514210m,41,154,0.016,180
514210m,43,146,0.016,180
514210m,44,176,0.016,180
514210m,45,13,0.016,180
514210m,46,53,0.016,180
514210m,47,171,0.016,180
514210m,48,0,0.016,180
514210m,49,114,0.016,180
514210m,50,56,0.016,180
514210m,52,83,0.016,180
514210m,53,103,0.016,180
514210m,54,90,0.016,180
514210m,55,44,0.016,180
514210m,56,79,0.016,180
514210m,57,71,0.016,180
514210m,58,59,0.016,180
514210m,59,176,0.016,180
514210m,60,155,0.016,180
58010m,1,0,0.016,180
58010m,2,0,0.016,180
58010m,3,110,0.016,180
58010m,4,104,0.016,180
58010m,5,102,0.016,180
58010m,6,45,0.016,180
58010m,7,27,0.016,180
58010m,8,60,0.016,180
58010m,9,107,0.016,180
58010m,10,53,0.016,180
58010m,11,114,0.016,180
58010m,12,106,0.016,180
58010m,13,38,0.016,180
58010m,14,72,0.016,180
58010m,15,121,0.016,180
58010m,16,78,0.016,180
58010m,17,113,0.016,180
58010m,18,0,0.016,180
58010m,19,22,0.016,180
58010m,20,24,0.016,180
58010m,21,26,0.016,180
58010m,22,19,0.016,180
58010m,23,19,0.016,180
58010m,24,93,0.016,180
58010m,25,65,0.016,180
58010m,26,77,0.016,180
58010m,27,99,0.016,180
58010m,28,24,0.016,180
58010m,29,112,0.016,180
58010m,30,63,0.016,180
58010m,31,6,0.016,180
58010m,32,86,0.016,180
58010m,33,131,0.016,180
58010m,34,94,0.016,180
58010m,35,47,0.016,180
58010m,36,59,0.016,180
58010m,37,123,0.016,180
58010m,38,45,0.016,180
58010m,40,135,0.016,180
58010m,42,172,0.016,180
58010m,43,95,0.016,180
58010m,44,158,0.016,180
58010m,45,23,0.016,180
58010m,46,65,0.016,180
58010m,47,145,0.016,180
58010m,48,0,0.016,180
58010m,49,101,0.016,180
58010m,50,122,0.016,180
58010m,51,150,0.016,180
58010m,52,131,0.016,180
58010m,53,28,0.016,180
58010m,54,113,0.016,180
58010m,55,73,0.016,180
58010m,56,63,0.016,180
58010m,57,63,0.016,180
58010m,58,113,0.016,180
58010m,59,83,0.016,180
58010m,60,80,0.016,180
674510m,1,0,0.016,180
674510m,2,0,0.016,180
674510m,3,135,0.016,180
674510m,4,124,0.016,180
674510m,5,162,0.016,180
674510m,6,59,0.016,180
674510m,7,130,0.016,180
674510m,8,123,0.016,180
674510m,9,151,0.016,180
674510m,10,49,0.016,180
674510m,11,132,0.016,180
674510m,12,134,0.016,180
674510m,13,34,0.016,180
674510m,14,114,0.016,180
674510m,15,84,0.016,180
674510m,16,75,0.016,180
674510m,17,105,0.016,180
674510m,18,0,0.016,180
674510m,19,59,0.016,180
674510m,20,73,0.016,180
674510m,21,12,0.016,180
674510m,22,70,0.016,180
674510m,23,67,0.016,180
674510m,24,97,0.016,180
674510m,25,108,0.016,180
674510m,26,60,0.016,180
674510m,27,84,0.016,180
674510m,28,93,0.016,180
674510m,29,166,0.016,180
674510m,30,63,0.016,180
674510m,31,28,0.016,180
674510m,32,105,0.016,180
674510m,33,153,0.016,180
674510m,34,131,0.016,180
674510m,35,154,0.016,180
674510m,36,86,0.016,180
674510m,37,124,0.016,180
674510m,38,111,0.016,180
674510m,39,149,0.016,180
674510m,40,99,0.016,180
674510m,41,71,0.016,180
674510m,42,90,0.016,180
674510m,43,154,0.016,180
674510m,44,131,0.016,180
674510m,45,56,0.016,180
674510m,46,61,0.016,180
674510m,47,100,0.016,180
674510m,48,0,0.016,180
674510m,49,85,0.016,180
674510m,50,92,0.016,180
674510m,51,8,0.016,180
674510m,52,85,0.016,180
674510m,53,134,0.016,180
674510m,54,101,0.016,180
674510m,55,124,0.016,180
674510m,56,80,0.016,180
674510m,57,88,0.016,180
674510m,58,104,0.016,180
674510m,59,90,0.016,180
674510m,60,83,0.016,180
737410m,1,0,0.016,180
737410m,2,0,0.016,180
737410m,3,48,0.016,180
737410m,4,134,0.016,180
737410m,5,139,0.016,180
737410m,6,39,0.016,180
737410m,7,119,0.016,180
737410m,8,94,0.016,180
737410m,9,60,0.016,180
737410m,10,11,0.016,180
737410m,11,82,0.016,180
737410m,12,87,0.016,180
737410m,13,21,0.016,180
737410m,14,51,0.016,180
737410m,15,129,0.016,180
737410m,16,61,0.016,180
737410m,17,41,0.016,180
737410m,18,0,0.016,180
737410m,19,68,0.016,180
737410m,20,92,0.016,180
737410m,21,34,0.016,180
737410m,22,61,0.016,180
737410m,23,59,0.016,180
737410m,24,90,0.016,180
737410m,25,5,0.016,180
737410m,26,29,0.016,180
737410m,27,77,0.016,180
737410m,28,40,0.016,180
737410m,29,89,0.016,180
737410m,30,86,0.016,180
737410m,31,5,0.016,180
737410m,32,114,0.016,180
737410m,33,141,0.016,180
737410m,34,110,0.016,180
737410m,35,113,0.016,180
737410m,36,59,0.016,180
737410m,37,140,0.016,180
737410m,38,82,0.016,180
737410m,40,30,0.016,180
737410m,41,69,0.016,180
737410m,42,150,0.016,180
737410m,43,143,0.016,180
737410m,44,76,0.016,180
737410m,45,27,0.016,180
737410m,46,11,0.016,180
737410m,47,78,0.016,180
737410m,48,0,0.016,180
737410m,49,72,0.016,180
737410m,50,67,0.016,180
737410m,51,89,0.016,180
737410m,52,83,0.016,180
737410m,53,74,0.016,180
737410m,54,110,0.016,180
737410m,55,25,0.016,180
737410m,56,67,0.016,180
737410m,57,19,0.016,180
737410m,58,140,0.016,180
737410m,59,93,0.016,180
737410m,60,109,0.016,180
897310m,1,0,0.016,180
897310m,2,0,0.016,180
897310m,3,143,0.016,180
897310m,4,69,0.016,180
897310m,5,144,0.016,180
897310m,6,120,0.016,180
897310m,7,79,0.016,180
897310m,8,82,0.016,180
897310m,9,59,0.016,180
897310m,10,91,0.016,180
897310m,11,100,0.016,180
897310m,12,144,0.016,180
897310m,13,72,0.016,180
897310m,14,74,0.016,180
897310m,15,76,0.016,180
897310m,16,70,0.016,180
897310m,17,39,0.016,180
897310m,18,0,0.016,180
897310m,19,67,0.016,180
897310m,20,101,0.016,180
897310m,21,36,0.016,180
897310m,22,9,0.016,180
897310m,23,22,0.016,180
897310m,24,77,0.016,180
897310m,25,159,0.016,180
897310m,26,55,0.016,180
897310m,27,159,0.016,180
897310m,28,133,0.016,180
897310m,30,67,0.016,180
897310m,31,18,0.016,180
897310m,32,143,0.016,180
897310m,33,154,0.016,180
897310m,34,157,0.016,180
897310m,35,157,0.016,180
897310m,36,128,0.016,180
897310m,37,110,0.016,180
897310m,38,156,0.016,180
897310m,41,154,0.016,180
897310m,43,156,0.016,180
897310m,44,78,0.016,180
897310m,45,137,0.016,180
897310m,46,98,0.016,180
897310m,47,154,0.016,180
897310m,48,0,0.016,180
897310m,49,97,0.016,180
897310m,50,175,0.016,180
897310m,51,121,0.016,180
897310m,52,58,0.016,180
897310m,53,140,0.016,180
897310m,54,165,0.016,180
897310m,55,141,0.016,180
897310m,56,94,0.016,180
897310m,57,95,0.016,180
897310m,58,154,0.016,180
897310m,59,159,0.016,180
897310m,60,113,0.016,180
989510m,1,0,0.016,180
989510m,2,0,0.016,180
989510m,3,35,0.016,180
989510m,4,98,0.016,180
989510m,5,120,0.016,180
989510m,6,84,0.016,180
989510m,7,89,0.016,180
989510m,8,33,0.016,180
989510m,9,46,0.016,180
989510m,10,88,0.016,180
989510m,11,60,0.016,180
989510m,12,13,0.016,180
989510m,13,36,0.016,180
989510m,14,87,0.016,180
989510m,15,128,0.016,180
989510m,16,155,0.016,180
989510m,17,53,0.016,180
989510m,18,0,0.016,180
989510m,19,33,0.016,180
989510m,20,64,0.016,180
989510m,21,30,0.016,180
989510m,22,67,0.016,180
989510m,23,34,0.016,180
989510m,24,71,0.016,180
989510m,25,61,0.016,180
989510m,26,20,0.016,180
989510m,27,135,0.016,180
989510m,28,79,0.016,180
989510m,29,139,0.016,180
989510m,30,51,0.016,180
989510m,31,37,0.016,180
989510m,32,124,0.016,180
989510m,33,157,0.016,180
989510m,34,92,0.016,180
989510m,35,84,0.016,180
989510m,36,93,0.016,180
989510m,37,139,0.016,180
989510m,38,142,0.016,180
989510m,40,91,0.016,180
989510m,41,169,0.016,180
989510m,42,176,0.016,180
989510m,43,133,0.016,180
989510m,44,124,0.016,180
989510m,45,68,0.016,180
989510m,46,128,0.016,180
989510m,47,87,0.016,180
989510m,48,0,0.016,180
989510m,49,27,0.016,180
989510m,50,113,0.016,180
989510m,51,77,0.016,180
989510m,52,37,0.016,180
989510m,53,114,0.016,180
989510m,54,75,0.016,180
989510m,55,127,0.016,180
989510m,56,28,0.016,180
989510m,57,85,0.016,180
989510m,58,79,0.016,180
989510m,59,104,0.016,180
989510m,60,117,0.016,180
